,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
0,1,marred inconvenience,mary le,united kingdom,2024-03-02,delay flight haneda doha caused bit chaos upon arrival despite effort reach gate promptly denied boarding due luggage issue lack assistance added frustration paid economy comfort package supposed include aisle seat however upon boarding informed aisle seat available despite assurance beforehand additionally luggage tag lost boarding pas exchange leading uncertainty upon arrival london meant 19hour journey turned 27hour ordeal requested assistance staff regarding rearrangement promised get back within 510 minute one followed reached security queue heathrow departure uk incredibly long wait time 15 hour get overall crew onboard courteous provided great service experience marred inconvenience,Solo Leisure,economy class,,False,TYO,LHR,1,3,2024
1,1,unknown,brian english,unknown,2024-02-29,convinced needed pay 1500 add middle name flight wouldnt allow plane got airport didnt put middle name ticket didnt issue paid 2300 upgrade seat business class doha montreal even hour flight seat reclined pinching leg seat wouldnt stay rest 135 hour flight,Couple Leisure,business class,,True,DOH,YUL,0,2,2024
2,1,attempt address complaint,wayne burgess,australia,2024-02-29,sent 5 email received 2 automatic response email initiating complaint 10 week ago sent relevant documentation support claim refund group 3 booked adjoining exit row seat upper deck a380 doha perth connecting flight amman paid exit row seat august 22 2023 received email confirmation day shock u amman airport got ticket second leg doha perth saw seat lower deck said wrong showed august confirmation seat 30 b c upper deck told qatar airway staff amman could fixed doha also told reason plane changed a380 correct connecting flight amman doha cancelled deleted altogether meaning 105 hour transit instead original 25 hour boarding gate amman informed 2 exit row seat available upper deck put hold u see qatar ground staff doha queue almost hour qatar service desk doha asked seat booked paid extra august provided email hard copy verify longer available u told system error apology system error disappointed find 2 exit row seat upper deck told staff boarding gate amman reserved actually retained u 1 exit row seat available understandably happy receive exit row seat booked paid 3 month prior fault victim qatar airway system error complain flight attendant doha perth flight understood control seat allocation however politely asked people seat 30a 30b paid august purchased seat informed done 2 week prior chose exit row seat upper deck extra space cabin configuration 2 4 2 seat wife would seated next member group would next available exit row seat instead seated next exit row seat split certainly didnt get paid plus wasted time trying unsuccessfully amman transit desk doha sort error created qatar airway assigning seat someone else bad enough didnt get 2 exit row seat paid allocated people booked well u worse attempt qatar airway address complaint let alone issue refund entitled complaint isnt complex,Business,economy class,A380,True,DOH,PER,0,0,
3,10,hope update a380,alwaleed althani,qatar,2024-02-25,unknown,Couple Leisure,first class,A380-800,Unknown,DOH,LHR,0,2,2024
4,7,unknown,w warnock,united kingdom,2024-02-22,unknown,Couple Leisure,business class,,Unknown,AKL,DOH,0,2,2024
5,10,remarkable experience,qandeel ahtasham,unknown,2024-02-20,12th february 2024 check get onboard remarkable experience since steping hamad international airport every one welcoming check agent professional helpful al mourjan lounge realy good great tasting food board cabin crew kind professional welcoming seat good leg space incredible service clean plane inflight entertainment great staff polite arriving london qatar staff gave fast track card help pas imigration quick thank qatar airway,Family Leisure,business class,A380,True,NAN,NAN,0,0,
6,10,incredible service,n foster,united states,2024-02-20,remarkable experience great tasting food leg space incredible service clean plane inflight entertainment great staff polite,Family Leisure,nan,,Unknown,NAN,NAN,0,0,
7,7,extraordinary experience,c barker,germany,2024-02-16,last travel january 2024 food quality presentation deteriorated service booking one pay seat case one want wait checkin first leg crew mechanically job ok expect qatar airway amenity kit provided longer every flight night nonetheless sometimes still find old welcoming service oriented qatar airway spirit crew second leg outstanding well ground staff jro flying qatar airway still good value money extraordinary experience,Couple Leisure,nan,BOEING 787-9,Unknown,DUS,JRO,1,1,2024
7,7,extraordinary experience,c barker,germany,2024-02-16,last travel january 2024 food quality presentation deteriorated service booking one pay seat case one want wait checkin first leg crew mechanically job ok expect qatar airway amenity kit provided longer every flight night nonetheless sometimes still find old welcoming service oriented qatar airway spirit crew second leg outstanding well ground staff jro flying qatar airway still good value money extraordinary experience,Couple Leisure,nan,A330-300,Unknown,DUS,JRO,1,1,2024
8,10,cant get better,b darnel,unknown,2024-02-15,trip highest level possible probably lounge frankfurt bit underwhelming qatar us priority pas lounge isnt qatar standard boarding plane frankfurt doha transferring doha visiting business class lounge onward flight doha melbourne qsuite nothing praise food outstanding wine list outstanding seat sleep comfort outstanding cant get better,Business,nan,BOEING 787,True,NAN,NAN,0,0,
8,10,cant get better,b darnel,unknown,2024-02-15,trip highest level possible probably lounge frankfurt bit underwhelming qatar us priority pas lounge isnt qatar standard boarding plane frankfurt doha transferring doha visiting business class lounge onward flight doha melbourne qsuite nothing praise food outstanding wine list outstanding seat sleep comfort outstanding cant get better,Business,nan,777,True,NAN,NAN,0,0,
9,4,refuse fully reimburse,l han,united states,2024-02-14,complaint service product onboard however lost bag jfk week waste day vacation time go buy clothes refuse fully reimburse chase jump hoop get compensation offer month gotten anything yet couple hundred dollar utterly disgraceful,Solo Leisure,nan,,Unknown,NYC,JNB,1,11,2023
10,6,inflight entertainment top notch,leasen,united states,2024-02-12,arrived departing airport baltimore washington flight cancelled first leg due bad weather part flight american airline american flight leaving bwi rest day needed get connecting flight chicago doha could offer flight leaving next nearest airport 40 mile away w way get would also change return flight airport option decided make lastminute decision fly another airline flying bwi cost figured could get refunded part flight qatar even american sadly american told qatar would refund ground airport chi mess took hour get checkin weather bad enough agent getting gate waiting board wasnt problem got upgraded seat economy class plenty space return flight picked seat another seatmate upgraded experience two fight id say first wasnt bad attendant also gave food right seatmate shouldnt issue since cart food right return flight didnt get meal attendant came back went front plane inflight entertainment top notch plenty movie tv show music internet choppy w device stayed w entertainment provided also think food great enjoyed meal portioned right issue refund im still fighting,Solo Leisure,economy class,,True,NAN,NAN,0,1,2024
11,10,definitely recommend,c mansouri,qatar,2024-02-03,using qatar airway year never let u check desk nice arrival doha cant fault trip staff plane pleasant always come see u check need anything continue use definitely recommend,Couple Leisure,economy class,,Unknown,NAN,NAN,0,0,
12,7,airline come anywhere close,r turnley,unknown,2024-02-03,unknown,Solo Leisure,business class,BOEING 777-300,True,NAN,NAN,0,1,2024
13,1,standard expected,peter dyson,unknown,2024-01-27,firstly must state three leg journey penang back birmingham excellent 23 september boarded flight penang doha short hop penang phuket crew good special note melissa friendly engaging attentive credit qatar airway however everything changed new crew embarked phuket sullen unsmiling outset service abysmal tablecloth given serviette getting glass wine water like getting blood stone distribution food chaotic sure fault cabin manager individual flight attendant disagreement among crew whatever standard expected business class qatar shortly landing cabin manager round stated unhappy serviceabout 10 minute later returned asked information qatar airway read comment hope investigate matter blotch otherwise excellent service provided aircrew,,business class,BOEING 777,True,PEN,DOH,1,0,
